2 4
--> 0 3.39504363507
--> 1 3.39504363507
--> 2 5.34022970998
--> 3 5.97909518245
--> 4 7.64198439258
--> 5 9.0566913044
--> 6 9.27230346739
         18148062 function calls (18147941 primitive calls) in 30.382 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    0.001    0.001 result.py:1(<module>)
       16    0.000    0.000    0.006    0.000 abc.py:86(__new__)
        1    0.000    0.000    0.001    0.001 arrayprint.py:5(<module>)
        1    0.000    0.000    0.001    0.001 polynomial.py:55(<module>)
        1    0.000    0.000    0.000    0.000 fftpack.py:32(<module>)
      313    0.000    0.000    0.000    0.000 sre_parse.py:193(__next)
    40/13    0.000    0.000    0.001    0.000 sre_compile.py:64(_compile)
        1    0.000    0.000    0.003    0.003 polynomial.py:4(<module>)
     1498    0.000    0.000    0.000    0.000 {method '__array_prepare__' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.100    0.100 type_check.py:3(<module>)
        1    0.000    0.000    0.001    0.001 loader.py:1(<module>)
        1    0.000    0.000    0.117    0.117 add_newdocs.py:10(<module>)
       64    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
      271    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:10(<module>)
        2    0.000    0.000    0.100    0.050 util.py:21(update)
        1    0.000    0.000    0.000    0.000 {posix.urandom}
        1    0.000    0.000    0.000    0.000 _iotools.py:3(<module>)
        1    0.000    0.000    0.001    0.001 threading.py:1(<module>)
        1    0.000    0.000    0.000    0.000 defmatrix.py:1(<module>)
    20/15    0.000    0.000    0.001    0.000 abc.py:148(__subclasscheck__)
       96    0.000    0.000    0.000    0.000 {circle}
    61/34    0.000    0.000    0.000    0.000 sre_parse.py:151(getwidth)
        1    0.000    0.000    0.002    0.002 _internal.py:6(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:3(<module>)
     1024    0.000    0.000    0.000    0.000 {chr}
       15    0.000    0.000    0.004    0.000 re.py:230(_compile)
       72    0.000    0.000    0.000    0.000 {line}
        3    0.000    0.000    0.000    0.000 numeric.py:351(extend_all)
        1    0.000    0.000    0.002    0.002 main.py:1(<module>)
       53    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.000    0.000 numerictypes.py:305(_add_aliases)
       31    0.000    0.000    0.000    0.000 _inspect.py:159(formatargspec)
        2    0.000    0.000    0.000    0.000 {normalize}
        1    0.000    0.000    0.000    0.000 fromnumeric.py:3(<module>)
       15    0.000    0.000    0.000    0.000 sre_compile.py:256(_optimize_charset)
       72    0.000    0.000    0.000    0.000 abc.py:89(<genexpr>)
        1    0.000    0.000    0.000    0.000 _datasource.py:35(<module>)
        1    0.000    0.000    0.000    0.000 _polybase.py:19(ABCPolyBase)
       12    0.000    0.000    0.000    0.000 ctypeslib.py:303(prep_simple)
        1    0.000    0.000    0.000    0.000 hermite.py:59(<module>)
        1    0.000    0.000    0.000    0.000 polyutils.py:45(<module>)
       26    0.000    0.000    0.000    0.000 numerictypes.py:233(bitname)
       19    0.000    0.000    0.000    0.000 nosetester.py:181(__init__)
       13    0.000    0.000    0.000    0.000 sre_compile.py:433(_compile_info)
      269    0.000    0.000    0.000    0.000 sre_parse.py:212(get)
        1    0.000    0.000    0.000    0.000 scimath.py:17(<module>)
        1    0.000    0.000    0.000    0.000 extras.py:10(<module>)
       11    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      271    0.000    0.000    0.000    0.000 {numpy.lib._compiled_base.add_docstring}
      145    0.000    0.000    0.000    0.000 sre_parse.py:141(__getitem__)
       13    0.000    0.000    0.003    0.000 sre_compile.py:567(compile)
       31    0.000    0.000    0.000    0.000 _inspect.py:61(getargs)
       43    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
        1    0.000    0.000    0.000    0.000 signals.py:1(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:78(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 records.py:36(<module>)
       13    0.000    0.000    0.002    0.000 sre_parse.py:706(parse)
       23    0.000    0.000    0.001    0.000 core.py:6068(getdoc)
        1    0.000    0.000    0.014    0.014 model.py:124(__init__)
      257    0.000    0.000    0.000    0.000 hashlib.py:161(<genexpr>)
      257    0.000    0.000    0.000    0.000 hashlib.py:160(<genexpr>)
        1    0.000    0.000    0.000    0.000 suite.py:1(<module>)
        1    0.000    0.000    0.000    0.000 defchararray.py:17(<module>)
       15    0.000    0.000    0.001    0.000 abc.py:105(register)
        1    0.000    0.000    0.000    0.000 _endian.py:4(<module>)
       27    0.000    0.000    0.000    0.000 core.py:834(__init__)
        1    0.000    0.000    0.000    0.000 utils.py:1(<module>)
       40    0.000    0.000    0.000    0.000 _inspect.py:120(getargspec)
        3    0.000    0.000    0.000    0.000 __init__.py:493(PYFUNCTYPE)
        1    0.000    0.000    0.000    0.000 numerictypes.py:788(_construct_lookups)
       40    0.000    0.000    0.001    0.000 core.py:109(get_object_signature)
        2    0.000    0.000    0.001    0.000 util.py:1(<module>)
    19/13    0.000    0.000    0.002    0.000 sre_parse.py:317(_parse_sub)
        1    0.000    0.000    0.000    0.000 core.py:2586(MaskedArray)
       35    0.000    0.000    0.000    0.000 _weakrefset.py:83(add)
       19    0.000    0.000    0.000    0.000 posixpath.py:120(dirname)
       30    0.000    0.000    0.000    0.000 numerictypes.py:451(_add_array_type)
        1    0.000    0.000    0.000    0.000 numerictypes.py:346(_add_integer_aliases)
        1    0.000    0.000    0.000    0.000 getlimits.py:3(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:289(_add_types)
      137    0.000    0.000    0.000    0.000 sre_parse.py:149(append)
       21    0.000    0.000    0.000    0.000 {numpy.core.multiarray.empty}
       21    0.000    0.000    0.000    0.000 numerictypes.py:220(_evalname)
      114    0.000    0.000    0.000    0.000 sre_parse.py:206(match)
        1    0.000    0.000    0.000    0.000 _import_tools.py:1(<module>)
       74    0.000    0.000    0.000    0.000 _inspect.py:152(strseq)
        1    0.000    0.000    0.000    0.000 contextlib.py:1(<module>)
       30    0.000    0.000    0.000    0.000 {posix.putenv}
        2    0.000    0.000    0.000    0.000 {_ctypes.POINTER}
        1    0.000    0.000    0.001    0.001 difflib.py:27(<module>)
       15    0.000    0.000    0.000    0.000 sre_compile.py:228(_compile_charset)
       20    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
        1    0.000    0.000    0.000    0.000 arrayterator.py:9(<module>)
       13    0.000    0.000    0.001    0.000 sre_compile.py:552(_code)
       18    0.000    0.000    0.000    0.000 core.py:913(__init__)
      154    0.000    0.000    0.000    0.000 {_sre.getlower}
        2    0.000    0.000    0.000    0.000 shape_base.py:1(<module>)
       14    0.000    0.000    0.000    0.000 __init__.py:147(_check_size)
       16    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       21    0.000    0.000    0.000    0.000 sre_compile.py:428(_simple)
       20    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
      347    0.000    0.000    0.000    0.000 {globals}
        1    0.000    0.000    0.000    0.000 nanfunctions.py:16(<module>)
        1    0.000    0.000    0.000    0.000 chebyshev.py:87(<module>)
        1    0.000    0.000    0.000    0.000 nosetester.py:6(<module>)
        1    0.000    0.000    0.001    0.001 numbers.py:6(<module>)
        4    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
       85    0.000    0.000    0.000    0.000 sre_parse.py:137(__len__)
        1    0.000    0.000    0.000    0.000 numerictypes.py:459(_set_array_types)
      125    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 format.py:136(<module>)
        5    0.000    0.000    0.000    0.000 getlimits.py:244(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:349(__init__)
        1    0.000    0.000    0.000    0.000 hermite_e.py:59(<module>)
        4    0.000    0.000    0.001    0.000 warnings.py:49(filterwarnings)
       15    0.000    0.000    0.004    0.000 re.py:192(compile)
        1    0.000    0.000    0.000    0.000 {binascii.hexlify}
        1    0.000    0.000    0.000    0.000 legendre.py:83(<module>)
        1    0.000    0.000    0.000    0.000 HSIC.py:1(<module>)
       31    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       72    0.000    0.000    0.000    0.000 numerictypes.py:131(english_lower)
        1    0.000    0.000    0.000    0.000 laguerre.py:59(<module>)
        1    0.000    0.000    0.000    0.000 defchararray.py:1668(chararray)
       66    0.000    0.000    0.000    0.000 sre_compile.py:101(fixup)
        1    0.000    0.000    0.000    0.000 stride_tricks.py:7(<module>)
       13    0.000    0.000    0.000    0.000 {_sre.compile}
        1    0.000    0.000    0.000    0.000 machar.py:7(<module>)
        1    0.000    0.000    0.000    0.000 _iotools.py:468(StringConverter)
        1    0.000    0.000    0.000    0.000 decorators.py:15(<module>)
        5    0.000    0.000    0.000    0.000 {map}
        1    0.000    0.000    0.001    0.001 random.py:100(seed)
        1    0.000    0.000    0.000    0.000 linalg.py:76(_determine_error_states)
        5    0.000    0.000    0.000    0.000 functools.py:17(update_wrapper)
       49    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       40    0.000    0.000    0.000    0.000 _inspect.py:15(ismethod)
        1    0.000    0.000    0.000    0.000 os.py:506(copy)
       40    0.000    0.000    0.000    0.000 sre_parse.py:92(__init__)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:436(_construct_char_code_lookup)
      116    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       26    0.000    0.000    0.000    0.000 sre_compile.py:546(isstring)
        1    0.000    0.000    0.000    0.000 _polybase.py:8(<module>)
       24    0.000    0.000    0.000    0.000 _weakrefset.py:70(__contains__)
        1    0.000    0.000    0.000    0.000 __init__.py:265(_reset_cache)
      117    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        2    0.000    0.000    0.000    0.000 utils.py:69(__call__)
       31    0.000    0.000    0.000    0.000 _inspect.py:39(iscode)
        1    0.000    0.000    0.000    0.000 twodim_base.py:3(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:387(_set_up_aliases)
       49    0.000    0.000    0.000    0.000 abc.py:15(abstractmethod)
        3    0.000    0.000    0.035    0.012 util.py:48(get_frames)
        1    0.000    0.000    0.000    0.000 _methods.py:5(<module>)
       23    0.000    0.000    0.001    0.000 core.py:6063(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:656(__init__)
        1    0.000    0.000    0.000    0.000 arraypad.py:5(<module>)
       30    0.000    0.000    0.000    0.000 os.py:472(__setitem__)
       13    0.000    0.000    0.000    0.000 sre_parse.py:189(__init__)
       20    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
       43    0.000    0.000    0.000    0.000 _inspect.py:163(<lambda>)
       46    0.000    0.000    0.000    0.000 collections.py:337(<genexpr>)
        6    0.000    0.000    0.000    0.000 core.py:1059(__init__)
        1    0.000    0.000    0.000    0.000 os.py:499(clear)
       11    0.000    0.000    0.000    0.000 sre_parse.py:268(_escape)
        1    0.000    0.000    0.000    0.000 collections.py:26(OrderedDict)
        8    0.000    0.000    0.000    0.000 core.py:7295(getdoc)
        9    0.000    0.000    0.000    0.000 extras.py:245(getdoc)
       30    0.000    0.000    0.000    0.000 {posix.unsetenv}
       40    0.000    0.000    0.000    0.000 numerictypes.py:158(english_upper)
        2    0.000    0.000    0.000    0.000 {math.log}
        1    0.000    0.000    0.000    0.000 {posix.uname}
       40    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
       45    0.000    0.000    0.000    0.000 {repr}
        1    0.000    0.000    0.000    0.000 os.py:475(update)
       20    0.000    0.000    0.000    0.000 _weakrefset.py:52(_commit_removals)
        1    0.000    0.000    0.000    0.000 keyword.py:11(<module>)
        4    0.000    0.000    0.000    0.000 model.py:322(tz)
       20    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       20    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
       19    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       18    0.000    0.000    0.000    0.000 {_struct.calcsize}
        1    0.000    0.000    0.000    0.000 py3k.py:4(<module>)
        2    0.000    0.000    0.000    0.000 numeric.py:2428(seterr)
        2    0.000    0.000    0.000    0.000 threading.py:260(__init__)
        1    0.000    0.000    0.000    0.000 case.py:133(TestCase)
        1    0.000    0.000    0.000    0.000 model.py:16(joint)
        1    0.000    0.000    0.000    0.000 threading.py:640(Thread)
       20    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
      147    0.000    0.000    0.000    0.000 {ord}
       13    0.000    0.000    0.000    0.000 sre_parse.py:67(__init__)
        9    0.000    0.000    0.000    0.000 core.py:2433(__init__)
        1    0.000    0.000    0.000    0.000 financial.py:10(<module>)
        1    0.000    0.000    0.000    0.000 helper.py:4(<module>)
        9    0.000    0.000    0.000    0.000 core.py:2439(getdoc)
        1    0.000    0.000    0.000    0.000 arraysetops.py:26(<module>)
        8    0.000    0.000    0.000    0.000 core.py:7290(__init__)
        5    0.000    0.000    0.000    0.000 functools.py:39(wraps)
        4    0.000    0.000    0.000    0.000 sre_parse.py:227(isname)
        1    0.000    0.000    0.000    0.000 pprint.py:35(<module>)
